Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
38,KSC,SpaceX CRS-12,SpaceX CRS-12,LEO,SES,,F9 FT[,Success,5 July 2017,23:38
39,VAFB,Formosat-5,Formosat-5,"Success
",SES,,F9 B4[,Success,14 August 2017,16:31
40,KSC,Boeing X-37B,Boeing X-37B,GTO,SES,,F9 FT[,Success,24 August 2017,18:51
41,VAFB,Iridium NEXT,Iridium NEXT,"Success
",SES,,F9 B4[,Controlled,7 September 2017,14:00
42,KSC,SES-11,SES-11,LEO,SES,,F9 B4[,Success,9 October 2017,12:37
43,KSC,Koreasat 5A,Koreasat 5A,Success,SES,,F9 FTB1031.2220,Controlled,11 October 2017,22:53:00
44,Cape Canaveral,SpaceX CRS-13,SpaceX CRS-13,GTO,SES,,F9 B4[,No attempt,30 October 2017,19:34
45,VAFB,Iridium NEXT,Iridium NEXT,"Success
",SES,,F9 FTB1035.2227,No attempt,15 December 2017,15:36
46,CCAFS,Zuma,Zuma,GTO,SES,,F9 FTB1036.2227,No attempt,23 December 2017,01:27
47,CCAFS,GovSat-1,GovSat-1,"Success
",SES,,F9 B4[,No attempt,8 January 2018,01:00
48,VAFB,Paz,Paz,GTO,SES,,F9 FTB1032.2245,Success,31 January 2018,21:25
49,CCAFS,Hispasat 30W-6,Hispasat 30W-6,"Success
",SES,,F9 FTB1038.2268,Success,22 February 2018,14:17
50,VAFB,Iridium NEXT,Iridium NEXT,LEO,SES,,F9 B4[,No attempt,6 March 2018,05:33
51,CCAFS,SpaceX CRS-14,SpaceX CRS-14,"Success
",SES,,F9 B4B1041.2268,No attempt,30 March 2018,14:14
52,CCAFS,Transiting Exoplanet Survey Satellite,Transiting Exoplanet Survey Satellite,GTO,SES,,F9 B4B1039.2292,No attempt,2 April 2018,20:30
53,KSC,Bangabandhu-1,Bangabandhu-1,"Success
",SES,,F9 B4[,Success,18 April 2018,22:51
54,VAFB,Iridium NEXT,Iridium NEXT,Polar,SES,,F9 B5311B1046.1268,Success,11 May 2018,20:14
55,CCAFS,SES-12,SES-12,"Success
",SES,,F9 B4B1043.2322,Success,22 May 2018,19:47
56,CCAFS,SpaceX CRS-15,SpaceX CRS-15,LEO,SES,,F9 B4B1040.2268,Success,4 June 2018,04:45
57,CCAFS,Telstar 19V,Telstar 19V,"Success
",SES,,F9 B4B1045.2336,Success,29 June 2018,09:42
58,VAFB,Iridium NEXT,Iridium NEXT,GTO,SES,,F9 B5,Success,22 July 2018,05:50
59,CCAFS,Merah Putih,Merah Putih,"Success
",SES,,F9 B5349B1048[,Success,25 July 2018,11:39
60,CCAFS,Telstar 18V,Telstar 18V,GTO,SES,,F9 B5B1046.2354,Failure,7 August 2018,05:18
61,VAFB,SAOCOM 1A,SAOCOM 1A,Success,SES,,F9 B5[,No attempt,10 September 2018,04:45
62,KSC,Es'hail 2,Es'hail 2,LEO,SES,,F9 B5B1048.2364,Success,8 October 2018,02:22
63,VAFB,SSO-A,SSO-A,"Success
",SES,,F9 B5B1047.2268,Success,15 November 2018,20:46
64,CCAFS,SpaceX CRS-16,SpaceX CRS-16,GTO,SES,,F9 B5B1046.3268,Success,3 December 2018,18:34:05
65,CCAFS,GPS III,GPS III,"Success
",SES,,F9 B5[,Success,5 December 2018,18:16
66,VAFB,Iridium NEXT,Iridium NEXT,LEO,SES,,F9 B5[,Success,23 December 2018,13:51
67,CCAFS,Nusantara Satu,Nusantara Satu,"Success
",SES,,F9 B5B1049.2397,Success,11 January 2019,15:31
68,KSC,Crew Dragon Demo-1,Crew Dragon Demo-1,GTO,SES,,F9 B5B1048.3399,Success,22 February 2019,01:45
69,CCAFS,SpaceX CRS-17,SpaceX CRS-17,"Success
",SES,,F9 B5[]413,No attempt,2 March 2019,07:49
70,CCAFS,Starlink,Starlink,LEO,SES,,F9 B5[,Success,4 May 2019,06:48
71,VAFB,RADARSAT Constellation,RADARSAT Constellation,"Success
",SES,,F9 B5B1049.3434,Success,24 May 2019,02:30
72,CCAFS,SpaceX CRS-18,SpaceX CRS-18,GTO,SES,,F9 B5B1051.2420,Success,12 June 2019,14:17
73,CCAFS,AMOS-17,AMOS-17,"Success
",SES,,F9 B5B1056.2465,Success,25 July 2019,22:01
74,CCAFS,Starlink,Starlink,LEO,SES,,F9 B5B1047.3472,"No attempt
",6 August 2019,23:23
75,CCAFS,SpaceX CRS-19,SpaceX CRS-19,"Success
",SES,,F9 B5,Success,11 November 2019,14:56
76,CCAFS,JCSat-18,JCSat-18,SSO,SES,,F9 B5[,Failure,5 December 2019,17:29
77,CCAFS,Starlink,Starlink,"Success
",SES,,F9 B5B1056.3482,Success,17 December 2019,00:10
78,KSC,Crew Dragon in-flight abort test,Crew Dragon in-flight abort test,LEO,SES,,F9 B5,Failure,7 January 2020,02:19:21
79,CCAFS,Starlink,Starlink,"Success
",SES,,F9 B5,Success,19 January 2020,15:30
80,CCAFS,Starlink,Starlink,Polar,SES,,F9 B5,Success,29 January 2020,14:07
81,CCAFS,SpaceX CRS-20,SpaceX CRS-20,"Success
",SES,,F9 B5,Success,17 February 2020,15:05
82,KSC,Starlink,Starlink,GTO,SES,,F9 B5,Success,7 March 2020,04:50
83,KSC,Starlink,Starlink,"Success
",SES,,F9 B5,Success,18 March 2020,12:16
84,KSC,Crew Dragon Demo-2,Crew Dragon Demo-2,GTO,SES,,F9 B5,Success,22 April 2020,19:30
85,CCAFS,Starlink,Starlink,"Success
",SES,,F9 B5[,Success,30 May 2020,19:22
86,CCAFS,Starlink,Starlink,LEO,SES,,F9 B5,Success,4 June 2020,01:25
87,CCAFS,GPS III,GPS III,"Success
",SES,,F9 B5,Success,13 June 2020,09:21
88,CCAFS,ANASIS-II,ANASIS-II,Polar,SES,,F9 B5,Success,30 June 2020,20:10:46
89,KSC,Starlink,Starlink,Success,SES,,F9 B5B1058.2544,Success,20 July 2020,21:30
90,CCAFS,Starlink,Starlink,LEO,SES,,F9 B5,Success,7 August 2020,05:12
91,CCAFS,SAOCOM 1B,SAOCOM 1B,Success,SES,,F9 B5B1049.6544,Success,18 August 2020,14:31
92,KSC,Starlink,Starlink,GTO,SES,,F9 B5,Success,30 August 2020,23:18
93,KSC,Starlink,Starlink,Success,SES,,F9 B5B1060.2563,Success,3 September 2020,12:46:14
94,KSC,Starlink,Starlink,SSO,SES,,F9 B5B1058.3565,Success,6 October 2020,11:29:34
95,CCAFS,Starlink,Starlink,Success,SES,,F9 B5B1051.6568,Success,18 October 2020,12:25:57
96,CCAFS,GPS III,GPS III,GTO,SES,,F9 B5,Success,24 October 2020,15:31:34
97,KSC,Crew-1,Crew-1,Success,SES,,F9 B5,Success,5 November 2020,23:24:23
98,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),Sentinel-6 Michael Freilich (Jason-CS A),Polar,SES,,F9 B5[,Success,16 November 2020,00:27
99,CCAFS,Starlink,Starlink,Success,SES,,F9 B5,Success,21 November 2020,17:17:08
100,KSC,SpaceX CRS-21,SpaceX CRS-21,LEO,SES,,F9 B5 ♺[,Success,25 November 2020,02:13
101,CCSFS,SXM-7,SXM-7,Success,SES,,F9 B5 ♺[,Success,6 December 2020,16:17:08
102,KSC,NROL-108,NROL-108,HEO,SES,,F9 B5 ♺,Success,13 December 2020,17:30:00
103,CCSFS,Türksat 5A,Türksat 5A,Success,SES,,F9 B5 ♺,Failure,19 December 2020,14:00:00
104,KSC,Starlink,Starlink,GTO,SES,,F9 B5,Success,8 January 2021,02:15
105,CCSFS,Transporter-1,Transporter-1,Success,SES,,F9 B5B1051.8609,Success,20 January 2021,13:02
106,CCSFS,Starlink,Starlink,Polar,SES,,F9 B5B1058.5613,Success,24 January 2021,15:00
107,CCSFS,Starlink,Starlink,Success,SES,,F9 B5 ♺[,Success,4 February 2021,06:19
108,KSC,Starlink,Starlink,GTO,SES,,F9 B5 ♺,Success,16 February 2021,03:59:37
109,CCSFS,Starlink,Starlink,Success,SES,,F9 B5 ♺[,Success,4 March 2021,08:24
110,KSC,Starlink,Starlink,LEO,SES,,F9 B5 ♺[,Success,11 March 2021,08:13:29
111,CCSFS,Starlink,Starlink,Success,SES,,F9 B5 ♺,Success,14 March 2021,10:01
112,CCSFS,Starlink,Starlink,GTO,SES,,F9 B5B1060.6643,Success,24 March 2021,08:28
113,KSC,Crew-2,Crew-2,Success,SES,,F9 B5 ♺,Success,7 April 2021,16:34
114,CCSFS,Starlink,Starlink,Polar,SES,,F9 B5B1061.2647,Success,23 April 2021,9:49
115,KSC,Starlink,Starlink,Success,SES,,F9 B5B1060.7652,Success,29 April 2021,03:44
116,CCSFS,Starlink,Starlink,GTO,SES,,F9 B5B1049.9655,Success,4 May 2021,19:01
117,KSC,Starlink,Starlink,Success,SES,,F9 B5B1051.10657,,9 May 2021,06:42
118,CCSFS,Starlink,Starlink,GTO,,,F9 B5B1058.8660,,15 May 2021,22:56
119,KSC,SpaceX CRS-22,SpaceX CRS-22,Success,,,F9 B5B1063.2665,,26 May 2021,18:59
120,CCSFS,SXM-8,SXM-8,SSO,,,F9 B5B1067.1668,,3 June 2021,17:29
121,,,,Success,,,F9 B5,,6 June 2021,04:26
,,,,GTO,,,,,,
,,,,Success,,,,,,
,,,,SSO,,,,,,
,,,,Success,,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,MEO,,,,,,
,,,,Success,,,,,,
,,,,Polar,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,SSO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,Sub-orbital,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,MEO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,SSO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,MEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,SSO,,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,Success,,,,,,
,,,,LEO,,,,,,
,,,,Success,,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,Polar orbit,,,,,,
,,,,Success,,,,,,
,,,,GTO,,,,,,
,,,,Success,,,,,,
,,,,GTO,,,,,,
,,,,Success,,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,Success,,,,,,
,,,,GTO,,,,,,
,,,,Success,,,,,,
,,,,GTO,,,,,,
,,,,Success,,,,,,
,,,,LEO,,,,,,
,,,,Success,,,,,,
,,,,LEO,,,,,,
,,,,Success,,,,,,
,,,,HEO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,Failure,,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,Success,,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,Polar,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,Success,,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,SSO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,Polar,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,Polar,,,,,,
,,,,Success,,,,,,
,,,,LEO,,,,,,
,,,,Success,,,,,,
,,,,GTO,,,,,,
,,,,Success,,,,,,
,,,,SSO,,,,,,
,,,,Success,,,,,,
,,,,GTO,,,,,,
,,,,Success,,,,,,
,,,,Polar,,,,,,
,,,,Success,,,,,,
,,,,LEO,,,,,,
,,,,Success,,,,,,
,,,,HEO,,,,,,
,,,,Success,,,,,,
,,,,GTO,,,,,,
,,,,Success,,,,,,
,,,,Polar,,,,,,
,,,,Success,,,,,,
,,,,GTO,,,,,,
,,,,Success,,,,,,
,,,,LEO,,,,,,
,,,,Success,,,,,,
,,,,GTO,,,,,,
,,,,Success,,,,,,
,,,,Polar,,,,,,
,,,,Success,,,,,,
,,,,GTO,,,,,,
,,,,Success,,,,,,
,,,,GTO,,,,,,
,,,,Success,,,,,,
,,,,SSO,,,,,,
,,,,Success,,,,,,
,,,,GTO,,,,,,
,,,,Success,,,,,,
,,,,SSO,,,,,,
,,,,Success,,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,MEO,,,,,,
,,,,Success,,,,,,
,,,,Polar,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,SSO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,Sub-orbital,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,MEO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,SSO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,MEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,SSO,,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,Success,,,,,,
,,,,LEO,,,,,,
,,,,Success,,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,Polar orbit,,,,,,
,,,,Success,,,,,,
,,,,GTO,,,,,,
,,,,Success,,,,,,
,,,,GTO,,,,,,
,,,,Success,,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,Success,,,,,,
,,,,GTO,,,,,,
,,,,Success,,,,,,
,,,,GTO,,,,,,
,,,,Success,,,,,,
,,,,LEO,,,,,,
,,,,Success,,,,,,
,,,,LEO,,,,,,
,,,,Success,,,,,,
,,,,HEO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,Failure,,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,Success,,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,Polar,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,Success,,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,SSO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,Polar,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,Polar,,,,,,
,,,,Success,,,,,,
,,,,LEO,,,,,,
,,,,Success,,,,,,
,,,,GTO,,,,,,
,,,,Success,,,,,,
,,,,SSO,,,,,,
,,,,Success,,,,,,
,,,,GTO,,,,,,
,,,,Success,,,,,,
,,,,Polar,,,,,,
,,,,Success,,,,,,
,,,,LEO,,,,,,
,,,,Success,,,,,,
,,,,HEO,,,,,,
,,,,Success,,,,,,
,,,,GTO,,,,,,
,,,,Success,,,,,,
,,,,Polar,,,,,,
,,,,Success,,,,,,
,,,,GTO,,,,,,
,,,,Success,,,,,,
,,,,LEO,,,,,,
,,,,Success,,,,,,
,,,,GTO,,,,,,
,,,,Success,,,,,,
,,,,Polar,,,,,,
,,,,Success,,,,,,
,,,,GTO,,,,,,
,,,,Success,,,,,,
,,,,GTO,,,,,,
,,,,Success,,,,,,
,,,,SSO,,,,,,
,,,,Success,,,,,,
,,,,GTO,,,,,,
,,,,Success,,,,,,
,,,,SSO,,,,,,
,,,,Success,,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,MEO,,,,,,
,,,,Success,,,,,,
,,,,Polar,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,SSO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,Sub-orbital,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,MEO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,SSO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,MEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,SSO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,LEO,,,,,,
,,,,"Success
",,,,,,
,,,,GTO,,,,,,
,,,,"Success
",,,,,,
